Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
anyvision-002,0.0867,0.000501187233627273,0.0633,7.94328234724282e-05,0.0435,0.000125892541179417,0.078,1e-05,0.0625,1e-04,0.0532,1.58489319246111e-05,0.0335,1.25892541179417e-05,0.0616,1e-05
anyvision-004,0.0417,0.000398107170553497,0.0295,3.98107170553497e-05,0.0134,0.000158489319246111,0.026,1e-05,0.0236,0.000125892541179417,0.0115,1.99526231496888e-05,0.0053,3.16227766016838e-05,0.0139,1e-05
aware-003,0.0942,0.000398107170553497,0.0694,0.000125892541179417,0.0479,0.000158489319246111,0.0846,1e-05,0.0646,6.30957344480193e-05,0.0395,3.16227766016838e-05,0.0268,2.51188643150958e-05,0.0585,1e-05
aware-004,0.087,0.000501187233627273,0.0598,1e-04,0.0366,0.000158489319246111,0.0765,1e-05,0.0586,5.01187233627273e-05,0.0331,3.16227766016838e-05,0.0204,1.58489319246111e-05,0.0519,1e-05
awiros-001,0.8884,0.000316227766016838,0.3499,0.000199526231496888,0.3923,0.000125892541179417,0.4318,3.16227766016838e-05,0.3807,5.01187233627273e-05,0.3377,3.98107170553497e-05,0.3596,1.99526231496888e-05,0.3893,1.58489319246111e-05
ayonix-000,0.3911,0.000158489319246111,0.3444,1e-04,0.3858,0.000398107170553497,0.4323,1.58489319246111e-05,0.3522,3.16227766016838e-05,0.3107,3.16227766016838e-05,0.3863,6.30957344480193e-05,0.384,1e-05
camvi-002,0.0243,0.000630957344480193,0.0184,3.98107170553497e-05,0.0063,6.30957344480193e-05,0.0125,1e-05,0.0165,0.000125892541179417,0.009,1e-05,0.0034,1e-05,0.0095,1e-05
camvi-004,0.0102,0.000125892541179417,0.0105,0.000398107170553497,0.0026,5.01187233627273e-05,0.0046,1.99526231496888e-05,0.0091,5.01187233627273e-05,0.0058,7.94328234724282e-05,0.0019,1e-05,0.0053,1e-05
ceiec-002,0.0189,0.000251188643150958,0.0194,7.94328234724282e-05,0.0066,0.000158489319246111,0.0102,3.16227766016838e-05,0.0168,0.000199526231496888,0.0108,3.98107170553497e-05,0.009,3.98107170553497e-05,0.0099,1e-05
chtface-001,1,1e-05,0.9983,1e-04,0.9999,1e-04,0.9999,7.94328234724282e-05,0.9999,3.16227766016838e-05,0.9998,0.000125892541179417,0.9999,0.000125892541179417,0.9998,0.000199526231496888
cognitec-000,0.053,0.000501187233627273,0.0354,7.94328234724282e-05,0.0109,1e-04,0.0146,1.58489319246111e-05,0.032,0.000125892541179417,0.0128,1.58489319246111e-05,0.0054,1e-05,0.011,1e-05
cognitec-001,0.0514,0.000501187233627273,0.0345,7.94328234724282e-05,0.0108,1e-04,0.0145,1.25892541179417e-05,0.0311,0.000125892541179417,0.0128,1.58489319246111e-05,0.0058,1e-05,0.0111,1e-05
ctbcbank-000,0.0387,0.000630957344480193,0.026,3.98107170553497e-05,0.0103,6.30957344480193e-05,0.0189,1e-05,0.0278,0.000125892541179417,0.0126,1e-05,0.0061,1e-05,0.0144,1e-05
cyberextruder-001,0.238,0.000199526231496888,0.2139,5.01187233627273e-05,0.223,0.000316227766016838,0.2786,1e-05,0.2119,3.98107170553497e-05,0.1729,2.51188643150958e-05,0.1633,0.000125892541179417,0.2413,1e-05
cyberlink-002,0.0352,0.000630957344480193,0.0232,3.98107170553497e-05,0.0077,6.30957344480193e-05,0.0149,1e-05,0.0232,1e-04,0.0109,1e-05,0.0043,1e-05,0.0112,1e-05
